,key_entities
0,Ueli_Maurer
1,Alain_Berset
2,Bundesrat
3,Taskforce
4,BAG
5,Daniel_Koch
6,Tanja_Stadler
7,Christoph_Berger
8,Lukas_Engelberger
9,Patrick_Mathys
10,SVP
11,SP
12,FDP
13,Die_Mitte
